Ghir_D06	14200000	15200000	221534
Ghir_A01	97800000	98800000	49757
Ghir_D06	14400000	15400000	262063
Ghir_A01	98000000	99000000	73040
Ghir_D06	14600000	15600000	248456
Ghir_A01	98200000	99200000	92628
Ghir_D06	14800000	15800000	181957
Ghir_A01	98400000	99400000	96587
Ghir_D06	15000000	16000000	209586
Ghir_A01	98600000	99600000	103264
Ghir_D06	15200000	16200000	204872
Ghir_A01	98800000	99800000	157364
Ghir_D06	15400000	16400000	141254
Ghir_A01	99000000	100000000	160965
Ghir_D06	15600000	16600000	137245
Ghir_A01	99200000	100200000	156010
Ghir_A01	99400000	100400000	178567
Ghir_A01	99600000	100600000	247449
Ghir_D03	23800000	24800000	202925
Ghir_D03	24000000	25000000	186531
Ghir_D03	24200000	25200000	172128
Ghir_D03	24400000	25400000	179923
Ghir_D03	24600000	25600000	179588
Ghir_D03	24800000	25800000	63092
Ghir_D03	25000000	26000000	44686
Ghir_D03	25200000	26200000	34291
Ghir_D03	25400000	26400000	26496
Ghir_A03	19800000	20800000	99482
Ghir_D03	25600000	26600000	29477
Ghir_A03	20000000	21000000	67897
Ghir_A03	20200000	21200000	38168
Ghir_A03	20400000	21400000	26079
Ghir_A03	20600000	21600000	31057
Ghir_A03	20800000	21800000	23373
Ghir_A03	21000000	22000000	22252
Ghir_A03	21200000	22200000	22252
Ghir_D10	9800000	10800000	639293
Ghir_A03	21400000	22400000	22252
Ghir_D10	10000000	11000000	536691
Ghir_A03	21600000	22600000	4641
Ghir_D10	10200000	11200000	449665
Ghir_D10	10400000	11400000	429179
Ghir_D10	10600000	11600000	416092
Ghir_D10	10800000	11800000	366335
Ghir_D10	11000000	12000000	337117
Ghir_D10	11200000	12200000	302354
Ghir_A08	69800000	70800000	16000
Ghir_D10	11400000	12400000	311141
Ghir_A08	70000000	71000000	23761
Ghir_D10	11600000	12600000	273051
Ghir_A08	70200000	71200000	26219
Ghir_A08	70400000	71400000	26631
Ghir_A08	70600000	71600000	28695
Ghir_A08	70800000	71800000	28858
Ghir_A08	71000000	72000000	51983
Ghir_A08	71200000	72200000	41967
Ghir_D04	35800000	36800000	229365
Ghir_A08	71400000	72400000	86263
Ghir_D04	36000000	37000000	173576
Ghir_A08	71600000	72600000	98311
Ghir_D04	36200000	37200000	157833
Ghir_D04	36400000	37400000	158892
Ghir_D04	36600000	37600000	313157
Ghir_D04	36800000	37800000	213689
Ghir_D04	37000000	38000000	263419
Ghir_A10	73800000	74800000	221064
Ghir_D04	37200000	38200000	271299
Ghir_A10	74000000	75000000	181287
Ghir_D04	37400000	38400000	266418
Ghir_A10	74200000	75200000	248069
Ghir_D04	37600000	38600000	92588
Ghir_A10	74400000	75400000	264065
Ghir_A10	74600000	75600000	444638
Ghir_A10	74800000	75800000	432492
Ghir_A10	75000000	76000000	384919
Ghir_A10	75200000	76200000	386400
Ghir_A10	75400000	76400000	279910
Ghir_A10	75600000	76600000	99916
Ghir_A04	33800000	34800000	8539
Ghir_A04	34000000	35000000	31074
Ghir_A04	34200000	35200000	35341
Ghir_A04	34400000	35400000	56545
Ghir_A04	34600000	35600000	56545
Ghir_A04	34800000	35800000	56545
Ghir_A04	35000000	36000000	34010
Ghir_A04	35200000	36200000	25429
Ghir_A13	99800000	100800000	299104
Ghir_A04	35400000	36400000	4225
Ghir_D06	15800000	16800000	159023
Ghir_A13	100000000	101000000	344247
Ghir_A04	35600000	36600000	4225
Ghir_D06	16000000	17000000	109816
Ghir_A13	100200000	101200000	345082
Ghir_D06	16200000	17200000	177189
Ghir_A13	100400000	101400000	373345
Ghir_D06	16400000	17400000	184158
Ghir_A13	100600000	101600000	345428
Ghir_D06	16600000	17600000	188586
Ghir_A13	100800000	101800000	322793
Ghir_D06	16800000	17800000	147051
Ghir_A13	101000000	102000000	291081
Ghir_D06	17000000	18000000	153234
Ghir_A13	101200000	102200000	231650
Ghir_D06	17200000	18200000	133672
Ghir_A13	101400000	102400000	315777
Ghir_D06	17400000	18400000	124826
Ghir_A13	101600000	102600000	377225
Ghir_A07	59800000	60800000	15604
Ghir_D06	17600000	18600000	153526
Ghir_A07	60000000	61000000	15604
Ghir_A07	60200000	61200000	0
Ghir_A07	60400000	61400000	0
Ghir_A07	60600000	61600000	0
Ghir_A07	60800000	61800000	0
Ghir_A07	61000000	62000000	9689
Ghir_A07	61200000	62200000	9890
Ghir_D03	25800000	26800000	28788
Ghir_A07	61400000	62400000	9890
Ghir_D03	26000000	27000000	29181
